Município,Código,Gentílico,Prefeito_2017,Área_Territorial_2018,População_estimada_pessoas_2019,Densidade_demográfica_2010,Escolarização_6_a_14_anos_%_2010,IDHMunicipal_2010,Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017,Receitas_realizadas_×1000_2017,Despesas_empenhadas_×1000_2017,PIB_per_capita_2017
Lagoa Real,2918753,lagoa-realense,PEDRO CARDOSO CASTRO,"912,222",15665,"15,88","97,5","0,545","6,94","30026,71742","27241,76869","5471,15"
Laje,2918803,lajista,KLEDSON DUARTE MOTA,"449,834",23840,"48,5","96,9","0,586","7,72","50855,34458","47907,68046","8890,65"
Lajedão,2918902,lajedãoense,HUMBERTO CARVALHO CORTES,"624,353",3955,"6,07","98,7","0,632","47,62","20885,50565","17992,32611","13429,57"
Lajedinho,2919009,lajedinhense,MARCOS SOUZA DA MOTA,"846,728",3783,"5,07","97,5","0,546","23,81","15929,47229","14928,35051","15107,42"
Lajedo do Tabocal,2919058,lagedense,MARIANE ISABEL MOREIRA FAGUNDES,"382,937",8562,"19,23","97,8","0,584","30,61","21236,70811","19536,91372","7345,53"
Lamarão,2919108,lamarãoense,DIVAL MEDEIROS PINHEIRO,"189,257",8307,"45,74","95,2","0,518","14,08","20565,8105","18887,9632","5411,9"
Lapão,2919157,lapoense,JOSE RICARDO RODRIGUES BARBOSA,"642,882",27223,"42,38",97,"0,596","11,44","65009,77106","63486,59828","6787,59"
Lauro de Freitas,2919207,lauro-freitense,MOEMA ISABEL PASSOS GRAMACHO,"57,664",198440,"2833,38","97,2","0,754","13,68","519885,4764","474285,9415","31809,81"
Lençóis,2919306,lençoense,MARCOS AIRTON ALVES DE ARAÚJO,"1283,328",11409,"8,12","97,2","0,623","17,09","27303,1426","26900,79412","9577,77"
Licínio de Almeida,2919405,licínio-de-almeidense,FREDERICO VASCONCELLOS FERREIRA,"856,626",12388,"14,6","98,4","0,621","28,99","32694,62231","25942,64529","8035,87"
Livramento de Nossa Senhora,2919504,livramentense,JOSÉ RICARDO ASSUNÇÃO RIBEIRO,"1953,38",45732,"19,99","98,1","0,611","6,84","82765,87656","73982,26004","8937,69"
Luís Eduardo Magalhães,2919553,luiseduardense,OZIEL ALVES DE OLIVEIRA,"3940,537",87519,"15,25","96,4","0,716","13,57","305247,0096","288958,9769","57502,42"
Macajuba,2919603,macajubense,MARY MARQUES DIAS SAMPAIO,"701,17",11348,"17,27","97,6","0,524","13,51","44636,61349","28611,1025","6108,18"
Macarani,2919702,macaraniense,MILLER SILVA FERRAZ,"1210,106",18755,"13,28","96,7","0,605","36,2","42453,87819","40549,07366","8082,36"
Macaúbas,2919801,macaubense,AMELIO COSTA JUNIOR,"2459,102",49826,"15,71","97,9","0,609","19,93","91801,82027","83840,88005","6445,92"
Macururé,2919900,macururense,EVERALDO CARVALHO SOARES,"2545,856",7824,"3,52","97,1","0,604","33,33","21281,88398","18058,30908","5099,37"
Madre de Deus,2919926,madre-deusense,JEFERSON ANDRADE BATISTA,"32,201",21093,"539,61","98,5","0,708","21,13","158842,6445","153065,004","21144,39"
Maetinga,2919959,maetinguense,EDCARLOS LIMA OLIVEIRA,"614,834",3161,"10,32","96,8","0,538","14,49","22889,25217","18530,22419","9941,15"
Maiquinique,2920007,maiquiniquense,JESULINO DE SOUZA PORTO,"588,297",10112,"17,85","98,1","0,576","19,8","22400,92272","21822,59998","9075,19"
Mairi,2920106,mairiense,JOSÉ BONIFACIO PEREIRA DA SILVA,"906,68",18676,"20,29",98,"0,572","19,61","41746,28326","40867,02714","6855,53"
Malhada,2920205,malhadense,VALDEMAR LACERDA SILVA FILHO,"1971,717",16845,"7,97","97,4","0,562","8,06","40655,7602","41638,84955","7542,27"
Malhada de Pedras,2920304,malhada-pedrense,TEREZINHA BALEEIRO ALVES SANTOS,"549,535",8393,"16,01","97,4","0,578","9,26","20668,64247","17439,29267","6845,01"
Manoel Vitorino,2920403,manoel-vitorinense,HELENO VIRIATO DE ALENCAR VILAR,"2201,764",13240,"6,45","98,2","0,566","5,15","37725,62995","32143,93529","7700,79"
Mansidão,2920452,mansidãoense,NEY BORGES DE OLIVEIRA,"3130,13",13643,"3,96","99,3","0,599","39,22","33958,09541","30980,11798","5125,4"
Maracás,2920502,maracaense,UILSON VENÂNCIO GOMES DE NOVAES,"2413,269",20834,"10,92","97,2","0,607","8,13","57366,11209","55365,88715","19659,12"
Maragogipe,2920601,maragogipano,VERA LUCIA MARIA DOS SANTOS,"438,182",44677,"97,27","96,8","0,621","11,14","80950,22001","77522,19345","7211,1"
Maraú,2920700,marauense,MARIA DAS GRAÇAS DE DEUS VIANA,"848,885",20570,"23,2",95,"0,593","8,1","55726,71737","51961,40954","10002,94"
Marcionílio Souza,2920809,marcionilense,ADENILTON DOS SANTOS MEIRA,"1099,384",10406,"8,22","96,1","0,561","7,81","25303,39468","26573,5351","7061,38"
Mascote,2920908,mascotense,ARNALDO LOPES COSTA,"742,689",13822,"18,95",95,"0,581","17,24","32920,249","31755,55853","10171,68"
Mata de São João,2921005,matense,OTAVIO MARCELO MATOS DE OLIVEIRA,"605,21",46583,"63,46","98,1","0,668","18,23","177163,2184","168512,9022","22407,1"
Matina,2921054,matinense,JUSCELIO ALVES FONSECA,"773,278",12201,"14,37","97,5","0,572","15,63","27220,1942","26143,14584","5777,7"
Medeiros Neto,2921104,medeirense,JADNA PAIVA SILVA,"1311,739",22688,"17,4","96,7","0,625","7,55","54175,53351","50250,56079","13878,32"
Miguel Calmon,2921203,calmonense,JOSÉ RICARDO LEAL REQUIÃO,"1599,672",26023,"16,88","97,5","0,586","15,96","49402,89665","43921,33581","7852,92"
Milagres,2921302,milagrense,CÉZAR ROTONDANO MACHADO,"420,358",10950,"36,24","98,9","0,622","14,39","26836,03054","23356,53611","7731,98"
Mirangaba,2921401,mirangabense,ADILSON ALMEIDA DO NASCIMENTO,"1751,781",18338,"9,59","98,4","0,542","24,39","41295,20747","40059,4578","5743,03"
Mirante,2921450,mirantense,FRANCISCO LUCIO MEIRA SANTOS,"1172,861",8641,"9,7","97,3","0,527","32,61","21894,07635","20476,584","5932,93"
Monte Santo,2921500,monte-santense,EDIVAN FERNANDES DE ALMEIDA,"3034,197",49418,"16,43","98,1","0,506","20,75","103250,3457","94070,23445","6276,89"
Morpará,2921609,morparaense,SIRLEY NOVAES BARRETO,"2093,872",8519,"4,88","97,9","0,558","27,78","20299,68368","18295,32938","6923,08"
Morro do Chapéu,2921708,morrense,LEONARDO REBOUÇAS DOURADO LIMA,"5744,968",35413,"6,12","96,5","0,588","14,84","81818,57657","74194,31278","10435,07"
Mortugaba,2921807,mortugabense,RITA DE CÁSSIA CERQUEIRA DOS SANTOS,"528,214",12042,"20,38","99,7","0,618","8,06","25910,86427","24088,19973","6834,7"
Mucugê,2921906,mucugeense,CLAUDIO MANOEL LUZ SILVA,"2462,153",9062,"4,3","97,5","0,606","23,81","38962,26274","37573,77174","39143,83"
Mucuri,2922003,mucuriense,JOSE CARLOS SIMÕES,"1787,626",41748,"20,23","94,1","0,665","10,49","178837,6043","153797,6454","46974,21"
Mulungu do Morro,2922052,mulunguense,FREDSON COSME ANDRADE DE SOUZA,"646,621",10889,"21,64","98,4","0,566","14,93","34342,82783","34090,5455","7660,77"
Mundo Novo,2922102,mundo-novense,JOSE ADRIANO DA SILVA,"1491,993",26776,"16,34","96,5","0,59","16,67","45825,49875","41301,45929","5764,78"
Muniz Ferreira,2922201,ferreirense,WELLINGTON SENA VIEIRA,"104,54",7422,"66,45","98,2","0,617","12,5","18024,93134","16580,0292","6221,4"
Muquém do São Francisco,2922250,sanfranciscano,MÁRCIO CESARE RODRIGUES MARIANO,"3853,175",11348,"2,82","97,1","0,549","24,54","33407,02188","31213,74418","11192,48"
Muritiba,2922300,muritibano,DANILO MARQUES DIAS SAMPAIO,"86,311",29399,"323,58","96,7","0,66","14,12","57288,42853","52964,0935","8445,23"
Mutuípe,2922409,mutuipense,RODRIGO MAICON DE SANTANA ANDRADE,"275,83",22221,"75,74","98,7","0,601","13,25","41672,23612","39167,75398","8742,7"
Nazaré,2922508,nazareno,EUNICE SOARES BARRETO PEIXOTO,"278,629",28525,"107,47","96,9","0,641","9,23","46140,50546","46098,50026","8787,54"
Nilo Peçanha,2922607,nilo-peçanhense,CARLOS ANTONIO BONFIM DE AZEVEDO,"390,964",13997,"31,38","94,9","0,547","15,79","37879,15029","34824,6903","8516,37"
Nordestina,2922656,nordestinense,ERIVALDO CARVALHO SOARES,"465,407",13130,"26,38","98,7","0,56","15,71","31554,22099","31378,16824","11847,99"
Nova Canaã,2922706,canaense,MARIVAL NEUTON DE MAGALHÃES FRAGA,"804,617",16462,"19,58","96,9","0,545","33,33","42467,5047","34607,87207","7120,56"
Nova Fátima,2922730,fatimense,JOSÉ ADRIANO SANTOS PEREIRA,"346,785",7812,"21,73","98,5","0,597","22,22","20869,13229","19620,87626","8973,1"
Nova Ibiá,2922755,nova-ibiaense,JOSÉ MURILO NUNES DE SOUZA,"203,198",6591,"37,19",97,"0,57","27,03","18574,52309","16912,86521","8937,84"
Nova Itarana,2922805,nova-itaranense,ANTONIO DANNILO ITALIANO DE ALMEIDA,"475,381",8226,"15,8","97,4","0,524","26,79","20767,38226","20050,21932","5779,83"
Nova Redenção,2922854,nova-redençoense,GUILMA RITA DE CASSIA GOTTSCHALL DA SILV,"565,356",9118,"18,64","95,1","0,567","19,61","19324,97456","17916,77788","5605,27"
Nova Soure,2922904,nova-souriense,LUIS CÁSSIO DE SOUZA ANDRADE,"921,712",26947,"25,4","97,6","0,555","23,88","57744,95344","54185,95571","8000,09"
Nova Viçosa,2923001,nova-viçosense,MANOEL COSTA ALMEIDA,"1316,38",43376,"29,15",97,"0,654","20,3","82539,16118","94355,72885","10903,17"
Novo Horizonte,2923035,novo-horizontino,DJALMA ABREU DOS ANJOS,"627,5",12385,"17,52","97,4","0,597","17,09","37852,71891","24040,75138","6051,66"
Novo Triunfo,2923050,novo-triunfense,JOAO BATISTA DE SANTANA,"251,319",15440,"59,89","94,6","0,554","36,14","29782,25736","25638,28563","3285,04"
Olindina,2923100,olindinense,VANDERLEI FULCO CALDAS,"637,317",28229,46,"91,4","0,559","17,06","49742,90374","45912,34956","6701,2"
Oliveira dos Brejinhos,2923209,brejinhense,CARLOS AUGUSTO RIBEIRO PORTELA,"3313,418",21825,"6,21","97,8","0,554","13,84","46905,85419","41893,12891","7337,66"
Ouriçangas,2923308,ouriçanguense,ANTONIO DIAS MARQUES,"156,982",8564,"53,51","98,7","0,607","12,66","20974,13415","17522,07158","5763,1"
Ourolândia,2923357,ourolandense,JOÃO DANTAS DE CARVALHO,"1544,988",17451,"11,03","97,7","0,56","9,74","43405,64817","37110,24298","8083,04"
Palmas de Monte Alto,2923407,monte-altense,MANOEL RUBENS VICENTE DA CRUZ,"2562,819",21750,"8,23",99,"0,586","19,38","41720,59824","41287,66277","7155,98"
Palmeiras,2923506,palmeirense,RICARDO OLIVEIRA GUIMARÃES,"737,454",9019,"12,79","96,2","0,643","17,96","22698,50513","19909,47555","8083,2"
Paramirim,2923605,paramirinhense,GILBERTO MARTINS BRITO,"1087,06",21607,"17,95","96,7","0,615","8,7","49298,07611","50279,9929","9026,81"
Paratinga,2923704,paratinguense,MARCEL JOSÉ CARNEIRO DE CARVALHO,"2624,118",32000,"11,28","98,9","0,59","21,48","63743,7941","63815,11473","6404,91"
Paripiranga,2923803,paripiranguense,JUSTINO DAS VIRGENS NETO,"435,71",28989,"63,76","97,4","0,577","15,04","52055,3243","46524,39398","10988,1"
Pau Brasil,2923902,pau-brasilense,BARBARA SUZETE DE SOUSA,"626,306",9831,"17,89","96,9","0,583","29,24","23849,09086","22547,15109","9119,37"
Paulo Afonso,2924009,paulo-afonsino,LUIZ BARBOSA DE DEUS,"1545,191",117782,"68,62","96,4","0,674","18,5","325776,2197","292032,0559","23924,05"
Pé de Serra,2924058,pé-de-serrense,ANTONIO JOILSON CARNEIRO RIOS,"596,77",13578,"22,32",98,"0,587","12,12","31201,42673","30292,00183","6678,4"
Pedrão,2924108,pedronense,SOSTHENES SERRAVALLE CAMPOS,"158,488",7347,"43,03","98,3","0,588","34,48","18798,83768","19279,61684","5319,96"
Pedro Alexandre,2924207,pedro-alexandrense,PEDRO GOMES FILHO,"896,071",16667,"18,97","94,4","0,513","17,75","35432,8266","36044,64602","5512,12"
Piatã,2924306,piatãense,EDWILSON OLIVEIRA MARQUES,"1825,857",17123,"10,49","98,6","0,571","16,19","43894,82413","41154,22853","6366,32"
Pilão Arcado,2924405,pilão-arcadense,MANOEL AFONSO MANGUEIRA,"11626,637",35048,"2,8","95,8","0,506","18,06","111897,1338","85967,29866","6182,23"
Pindaí,2924504,pindaiense,IONALDO AURÉLIO PRATES,"628,468",16260,"25,45","98,5","0,603","11,43","35307,47698","31529,90574","10961,05"
Pindobaçu,2924603,pindobaçuense,HELIO PALMEIRA DE CARVALHO,"495,845",20150,"40,54","98,6","0,577","22,39","58461,43613","53873,39694","6228,47"
Pintadas,2924652,pintadense,JOÃO BATISTA FERREIRA ALMEIDA,"647,144",10437,"18,96","96,7","0,612","11,49","25100,88014","22693,31034","7129,6"
Piraí do Norte,2924678,piraiense,EVERALDO SOUZA DOS SANTOS,"193,427",10023,"52,32","95,4","0,533","16,13","22632,06689","21145,55539","7353,11"
Piripá,2924702,piripaense,FLAVIO OLIVEIRA ROCHA,"511,756",10707,"29,08","97,3","0,575","10,75","21340,78804","20269,43071","5823,33"
Piritiba,2924801,piritibano,SAMUEL OLIVEIRA SANTANA,"980,328",24755,"22,96","97,9","0,578","8,03","43348,92156","45388,15278","5837,49"
Planaltino,2924900,planaltinense,JOSEVAL ALVES BRAGA,"955,356",9322,"9,52","96,6","0,572","13,7","21737,58934","19818,33863","6389,36"
Planalto,2925006,planaltense,EDILSON DUARTE DA CUNHA,769,26265,"27,7","97,1","0,56","13,42","51742,30249","49851,21481","8364,91"
Poções,2925105,poçoense,LEANDRO ARAUJO MASCARENHAS,"937,269",46871,"54,08","96,5","0,604","15,63","92723,55153","92443,01307","9103,18"
Pojuca,2925204,pojucano,CARLOS EDUARDO BASTOS LEITE,"314,933",39519,"113,97","96,7","0,666","17,58","105971,2202","94394,3466","21834,06"
Ponto Novo,2925253,ponto-novense,TIAGO MIRANDA VENANCIO MAIA,"530,144",14914,"31,65","98,1","0,58","18,25","37618,37655","36066,74569","7097,62"
Porto Seguro,2925303,porto-segurense,CLAUDIA SILVA SANTOS OLIVEIRA,"2285,764",148686,"52,7","96,9","0,676","13,74","368506,5068","347219,6425","18888,98"
Potiraguá,2925402,potiragüense,JORGE PORTO CHELES,"1111,567",7224,"9,95","97,6","0,625","17,86","23530,84157","24313,23835","9736,04"
Prado,2925501,pradense,MAYRA PIRES BRITO,"1687,833",28174,"15,87","96,5","0,621","13,57","75966,13533","72797,68632","14853,81"
Presidente Dutra,2925600,presidutrense,SILVIO MARIO ALVES ALMEIDA,"232,063",15142,"84,07",96,"0,614","22,47","33601,91732","31674,49637","6429,46"
Presidente Jânio Quadros,2925709,janio-quadrense,ALEX DA SILVA,"1209,166",12338,"11,52",97,"0,542","13,89","31640,87157","29266,96411","5901,87"
Presidente Tancredo Neves,2925758,tancredense,ANTONIO DOS SANTOS MENDES,"441,892",27719,"57,16","97,5","0,559","15,38","59094,48752","57887,52319","8407,72"
Queimadas,2925808,queimadense,ANDRE LUIZ ANDRADE,"2011,06",25439,"12,13",98,"0,592","6,58","53166,18389","50355,01733","7760,54"
Quijingue,2925907,quijinguense,WELIGTON CAVALCANTE DE GOIS,"1380,798",27580,"20,28","98,4","0,544","11,02","57500,29169","56522,86641","6497,08"
Quixabeira,2925931,quixabeirense,REGINALDO SAMPAIO SILVA,"366,387",8972,"24,64","98,6","0,578","9,09","21339,6533","20414,3875","6414,47"
Rafael Jambeiro,2925956,jambeirense,MARINALVO FERNANDES SERRA,"1090,552",22621,"18,95","96,3","0,564","14,39","52238,75297","51871,14847","10377,52"
Remanso,2926004,remansense,JOSÉ CLEMENTINO DE CARVALHO FILHO,"4683,404",41008,"8,32","96,3","0,579","7,46","82739,68547","81204,18515","7761,84"
Retirolândia,2926103,retirolandense,ALIVANALDO MARTINS DOS SANTOS,"242,329",14396,"66,43","98,5","0,636","4,61","30876,64528","28621,12602","8405,45"
Riachão das Neves,2926202,riachão-nevense,MIGUEL CRISOSTOMO BORGES NETO,"5978,998",22339,"3,87",95,"0,578","10,17","68541,30732","59314,80186","28481,74"
Riachão do Jacuípe,2926301,jacuipense,JOSÉ RAMIRO FERREIRA FILHO,"1155,418",33436,"27,87","98,3","0,628","16,71","60702,33541","56972,88543","8777,84"
Riacho de Santana,2926400,riachense,ALAN ANTONIO VIEIRA,"3183,911",35421,"11,87","96,8","0,615","7,96","65513,56574","61848,95812","6770,61"
Ribeira do Amparo,2926509,amparense,JOSE GERMANO SOARES DE SANTANA,"667,335",14592,"22,22","98,8","0,512","10,42","34660,18203","34724,69003","8845,66"
Ribeira do Pombal,2926608,pombalense,RICARDO MAIA CHAVES DE SOUZA,"1177,453",53807,"62,34","96,6","0,601","13,28","173551,9259","117666,8157","9781,37"
Ribeirão do Largo,2926657,ribeirense,HERBERT GONÇALVES DE OLIVEIRA,"1363,7",5812,"6,77","97,7","0,54","11,9","24982,04188","23149,93301","10519,25"
Rio de Contas,2926707,rio-contense,CRISTIANO CARDOSO DE AZEVEDO,"1115,252",12989,"12,23","97,9","0,605","24,39","25827,025","23415,36745","8605,95"
Rio do Antônio,2926806,rio-antoniense,JOSÉ SOUZA ALVES,"777,903",15371,"18,19","96,5","0,576","14,6","28264,62153","26942,5407","6297,26"
Rio do Pires,2926905,rio-pirense,GILVANIO ANTONIO DOS SANTOS,"656,223",11655,"14,54","97,2","0,594","19,23","26607,98372","24741,16696","6675,35"
Rio Real,2927002,rio-realense,ANTONIO ALVES DOS SANTOS,"738,606",40732,"51,84","97,5","0,572","16,29","78792,40047","71832,15936","20202,05"
Rodelas,2927101,rodelense,GERALDO JACKSON MENEZES LIMA,"2207,159",9331,"2,85","96,5","0,632","15,54","24432,68379","22587,60732","9099,46"
Ruy Barbosa,2927200,rui-barbosense,LUIZ CLAUDIO MIRANDA PIRES,"1991,769",30814,"13,76","97,9","0,61","19,52","59165,40163","57077,5991","9475,47"
Salinas da Margarida,2927309,salinense,WILSON RIBEIRO PEDREIRA,"151,501",15667,"89,81","97,9","0,617","18,87","44971,28395","37930,26191","9920,61"
Salvador,2927408,soteropolitano,ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,"693,831",2872347,"3859,44","95,9","0,759","14,56","6270192,755","5674145,325","21231,48"
Santa Bárbara,2927507,barbarense,JAILSON COSTA DOS SANTOS,"347,021",20791,"55,15",99,"0,583","32,26","37583,39303","32501,86867","7770,41"
Santa Brígida,2927606,santa-brigidense,CARLOS CLERISTON SANTANA GOMES,"900,064",14213,"17,06","97,2","0,546","10,81","34667,39877","32418,79486","6682,96"
Santa Cruz Cabrália,2927705,santa-cruzense,AGNELO SILVA SANTOS JUNIOR,"1462,942",27778,"16,92","96,4","0,654","11,24","71484,51232","68729,12637","13818,49"
Santa Cruz da Vitória,2927804,santa-cruzense,CARLOS ANDRÉ DE BRITO COELHO,"284,083",6315,"22,38",92,"0,61","14,93","16683,53035","15486,18734","8021,12"
Santa Inês,2927903,santinense,HÉRMESON NOVAES ELOI,"379,27",10631,"32,83","98,3","0,574","14,29","22554,33073","20594,3248","6222,89"
Santaluz,2928000,luzense,QUITERIA CARNEIRO ARAUJO,"1623,447",37348,"21,65","97,5","0,598","8,15","77592,00435","64697,85998","9002,45"
Santa Luzia,2928059,santa-luziense,ANTONIO GUILHERME DOS SANTOS,"824,462",12597,"17,22","92,5","0,556","29,59","28764,38324","27676,4662","6552,26"
Santa Maria da Vitória,2928109,santa-mariense,RENATO RODRIGUES LEITE JÚNIOR,"1984,91",39845,"20,49","98,9","0,614","16,63","101656,4533","90264,38387","10360,61"
Santana,2928208,santanense,MARCO AURÉLIO DOS SANTOS CARDOSO,"1909,353",26614,"13,6","99,7","0,608","12,5","54171,44763","54837,51766","8485,24"
Santanópolis,2928307,santanopolinense,JOSE FLORIN LIMA SANTOS,"222,686",8943,"38,02",99,"0,592","10,75","11311,38214","18969,22509","5445,53"
Santa Rita de Cássia,2928406,santa-ritense,ROMUALDO RODRIGUES SETUBAL,"6030,085",28338,"4,39","97,7","0,605","25,13","58258,18723","55366,9627","7432,29"
Santa Terezinha,2928505,santa-teresinhense,JOSE SANTANA DE OLIVEIRA JUNIOR,"719,257",10405,"13,64","97,5","0,587","18,02","25459,72435","24052,00805","6525,99"
Santo Amaro,2928604,santo-amarense,FLAVIANO ROHRS DA SILVA BOMFIM,"489,323",60069,"117,26","98,2","0,646","17,86","114539,4831","107860,3102","12646,76"
Santo Antônio de Jesus,2928703,santo-antoniense,ANDRÉ ROGÉRIO DE ARAÚJO ANDRADE,"261,74",101512,"348,14","97,4","0,7","11,32","182221,7589","171353,22","20268,73"
Santo Estêvão,2928802,santo-estevense,ROGERIO DOS SANTOS COSTA,"360,334",52850,"131,91","97,7","0,626","14,49","94418,14181","88792,55053","13478,82"
São Desidério,2928901,são-desideriano,JOSE CARLOS DE CARVALHO,"15116,397",33742,"1,82","95,8","0,579","15,72","166861,6207","129262,2256","69979,13"
São Domingos,2928950,são-dominguense,IZAQUE RIOS DA COSTA JUNIOR,"289,963",9058,"28,22","97,7","0,64","11,63","21735,55097","19438,57794","7369,76"
São Félix,2929008,são-felista,ALEX SANDRO ALELUIA DE BRITO,"103,226",14740,"142,11","97,5","0,639","12,12","39947,67985","37104,00494","8766,54"
São Félix do Coribe,2929057,são-felense,JUTAI EUDES RIBEIRO FERREIRA,"1754,361",15391,"13,74","97,6","0,639","4,22","64869,31065","46428,82072","10657,65"
São Felipe,2929107,são-felipense,ROZALIO SOUZA DA HORA,"222,408",21074,"98,57","99,7","0,616","14,08","47299,53518","48588,87861","8204,14"
São Francisco do Conde,2929206,franciscano,EVANDRO SANTOS ALMEIDA,"269,608",39802,"126,24","97,9","0,674","9,48","594320,2553","504606,206","253895,58"
São Gabriel,2929255,são-gabrielense,HIPOLITO RODRIGUES SILVA GOMES,"1146,054",18793,"15,36","97,1","0,592","23,72","40295,6358","39852,96965","5590,49"
São Gonçalo dos Campos,2929305,são-gonçalense,JOSE CARLOS DA SILVA ARAUJO,"294,768",37550,"110,67","97,8","0,627","14,49","64912,3232","59850,33416","22184,72"
São José da Vitória,2929354,são-joseense,JEOVA NUNES DE SOUZA,"127,925",5657,"78,84","97,3","0,546","50,51","15903,68484","16539,19399","8119,11"
São José do Jacuípe,2929370,jacuipense,ERISMAR ALMEIDA SOUZA,"362,365",10462,"25,3","98,5","0,552","15,75","26913,33027","25494,22012","7433,8"
São Miguel das Matas,2929404,miguelense,JOSE RENATO CURVELO DE ARAUJO,"230,888",11675,"48,57","98,7","0,593","47,17","25565,10289","25065,10123","8972,96"
São Sebastião do Passé,2929503,sebastianense,BRENO KONRAD MEIRA MOREIRA,"536,584",44300,"78,3","97,7","0,657","10,58","116098,8682","105426,2825","11965,3"
Sapeaçu,2929602,sapeaçuense,GEORGE VIEIRA GOIS,"131,218",17398,"141,5","98,1","0,614","16,06","43518,01008","38911,84172","8743,5"
Sátiro Dias,2929701,satirense,MARIVALDO DA CRUZ ALVES,"1008,179",17273,"18,78","97,2","0,527","4,61","43654,92041","43129,38307","7216,7"
Saubara,2929750,saubarense,MARCIA MENDES OLIVEIRA DE ARAUJO,"166,428",12043,"68,51","98,4","0,617","9,35","34184,24461","34044,28037","10249,45"
Saúde,2929800,saudense,SERGIO LUIZ SILVA PASSOS,"509,098",12913,"23,49","97,1","0,549","23,08","25226,80183","23922,67712","5951,69"
Seabra,2929909,seabrense,FABIO MIRANDA DE OLIVEIRA,"2402,17",44091,"16,6","98,1","0,635","21,96","82574,68234","78997,02284",10332
Sebastião Laranjeiras,2930006,sebastianense,JOSIELTON DE CASTRO MUNIZ,"1984,511",11434,"5,32","96,7","0,615","12,05","27752,20597","25725,95897","6454,1"
Senhor do Bonfim,2930105,bonfinense,CARLOS ALBERTO LOPES BRASILEIRO,"789,361",79015,"89,93",98,"0,666","12,93","129265,4834","125534,1784","10017,35"
Serra do Ramalho,2930154,serra-malhense,ITALO RODRIGO ANUNCIAÇÃO SILVA,"2342,146",31472,"12,2","97,4","0,595","15,69","76450,31404","75809,26954","9088,06"
Sento Sé,2930204,sento-seense,ANA LUIZA RODRIGUES DA SILVA PASSOS,"12181,239",40684,"2,95","97,5","0,585","21,11","87580,99159","86266,23456","11171,67"
Serra Dourada,2930303,serra-douradense,JOSÉ MILTON FROTA DE SOUZA,"1592,245",17386,"13,45","98,8","0,608","12,88","42734,28073","39701,68895","7663,52"
Serra Preta,2930402,serra-pretense,ROGERIO SERAFIM VIEIRA DE SOUSA,"595,298",14878,"28,71","98,1","0,566","16,13","33869,67273","31869,8351","6663,89"
Serrinha,2930501,serrinhense,ADRIANO SILVA LIMA,"583,314",80861,"122,97","97,3","0,634","13,16","144189,169","147655,4167","10243,92"
Serrolândia,2930600,serrolandense,JOSÉ GONÇALVES DE OLIVEIRA,"322,022",13397,"41,72","98,8","0,59","10,7","31618,88273","27631,05684","6436,09"
Simões Filho,2930709,simões-filhense,DIÓGENES TOLENTINO DE OLIVEIRA,"201,222",134377,"586,65","95,9","0,675","14,13","349440,5336","293260,795","39118,47"
Sítio do Mato,2930758,sítio-matense,ALFREDO DE OLIVEIRA MAGALHÃES JUNIOR,"1627,791",13012,"6,88","98,8","0,564","17,09","31410,51677","34563,97647","6704,29"
Sítio do Quinto,2930766,sítio-quintense,JAIR JESUS DOS SANTOS,"700,166",9986,"17,98","97,9","0,533","20,41","26219,16061","24007,72082","6966,46"
Sobradinho,2930774,sobradinhense,LUIZ VICENTE BERTI TORRES SANJUAN,"1154,905",23191,"17,76","97,8","0,631","23,09","72002,69787","63784,69886","20710,1"
Souto Soares,2930808,souto-soarense,ANDRÉ LUIZ SAMPAIO CARDOSO,"1026,634",16979,16,"97,1","0,592","37,43","40234,22336","37842,78005","5897,1"
Tabocas do Brejo Velho,2930907,taboquense,HUMBERTO PEREIRA DA SILVA,"1437,189",12518,"8,31","98,2","0,584","14,18","35722,00414","35255,64688","10386,03"
Tanhaçu,2931004,tanhaçuense,JORGE TEIXEIRA DA ROCHA,"1277,513",20403,"16,21","98,2","0,577","25,97","42554,93205","40478,16596","8713,82"
Tanque Novo,2931053,tanque-novense,VANDERLEI MARQUES CARDOSO,"729,516",17366,"22,31","98,4","0,599","17,86","40900,81391","41575,13007","8659,52"
Tanquinho,2931103,tanquinhense,LUEDSON SOARES SANTOS,"243,839",7918,"36,43",96,"0,597","15,63","17522,9574","15218,87657","6366,9"
Taperoá,2931202,taperoense,ROSIVAL LOPES DOS SANTOS,"452,004",21074,"45,64","96,1","0,566","8,1","48031,26194","44891,12248","7422,67"
Tapiramutá,2931301,tapiramutaense,DJALMA SANTOS JUNIOR,"714,692",17010,"24,88",95,"0,594","5,13","45398,93872","38265,41359","6071,31"
Teixeira de Freitas,2931350,teixeirense,TEMOTEO ALVES DE BRITO,"1165,622",160487,"118,87","96,5","0,685","7,98","361818,2463","345935,364","14298,26"
Teodoro Sampaio,2931400,teodorense,JOSE ALVES DA CRUZ,"244,613",7425,"34,1","95,8","0,594","19,61","23195,67415","22179,94461","15785,15"
Teofilândia,2931509,teofilandense,TERCIO NUNES OLIVEIRA,"351,892",22518,"64,02","96,8","0,566","6,45","50290,6003","45258,34129","6420,03"
Teolândia,2931608,teolandense,LAZARO ANDRADE DE OLIVEIRA,"289,6",14943,"46,68","90,5","0,555","6,06","40679,24219","40219,95436","9669,12"
