Município,Código,Gentílico,Prefeito_2017,Área_Territorial_2018,População_estimada_pessoas_2019,Densidade_demográfica_2010,Escolarização_6_a_14_anos_%_2010,IDHMunicipal_2010,Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017,Receitas_realizadas_×1000_2017,Despesas_empenhadas_×1000_2017,PIB_per_capita_2017
Campina do Monte Alegre,3509452,campinomontealegrense,GIL VICENTE DE OLIVEIRA JUNIOR,"185,031",6024,"30,09","97,5","0,717","26,67","22714,434","19475,58047","17775,98"
Campinas,3509502,campineiro,JONAS DONIZETTE FERREIRA,"794,571",1204073,"1359,6",96,"0,805","8,88","4614990,762","4719975,683","49942,59"
Campo Limpo Paulista,3509601,campo-limpense,ROBERTO ANTONIO JAPIM DE ANDRADE,"79,403",84650,"932,92","96,7","0,769","11,35","189590,2714","163427,2749","23293,67"
Campos do Jordão,3509700,jordanense,FREDERICO GUIDONI SCARANELLO,"290,52",52088,"164,76","97,1","0,749","7,82","196829,8367","180378,7927","23235,33"
Campos Novos Paulista,3509809,campos-novense,JÚLIO CÉSAR DO CARMO,"484,199",4965,"9,38","97,9","0,706","25,97","21740,4125","19664,72806","25782,07"
Cananéia,3509908,cananeiense,GABRIEL DOS SANTOS OLIVEIRA ROSA,"1237,354",12540,"9,86","97,3","0,72","10,53","53312,48738","47260,34112","20522,82"
Canas,3509957,canense,LUCEMIR DO AMARAL,"53,261",5138,"82,33","98,3","0,704","47,06","22047,3792","20464,71278","51603,95"
Cândido Mota,3510005,cândido-motense,CARLOS ROBERTO BUENO,"595,811",31280,"50,12","98,2","0,747","14,84","119067,4762","91800,50762","32167,96"
Cândido Rodrigues,3510104,cândido-rodriguense,ANTONIO CLAUDIO FALCHI,"70,892",2793,"37,94",99,"0,789","47,62","18557,95683","14177,40555","41307,08"
Canitar,3510153,canitarense,ANIBAL FELICIANO,"57,459",5216,"76,34","96,1","0,68","28,57","19723,73873","17007,02541","38697,82"
Capão Bonito,3510203,capão-bonitense,MARCO ANTONIO CITADINI,"1640,23",47138,"28,15","98,7","0,721","8,97","135940,403","122482,9661","17158,94"
Capela do Alto,3510302,capelense,PERICLES GONÇALVES,"169,89",20706,"103,2","96,5","0,699","14,04","59751,63173","51831,96495","14285,4"
Capivari,3510401,capivariano,RODRIGO ABDALA PROENÇA,"322,878",55768,"150,45","97,3","0,75","16,13","211476,5033","192162,0577","34575,39"
Caraguatatuba,3510500,caraguatatubense,JOSE PEREIRA DE AGUILAR JUNIOR,"484,947",121532,"207,88","97,7","0,759","13,09","671648,9289","595360,9078","25073,95"
Carapicuíba,3510609,carapicuibano,MARCO AURELIO DOS SANTOS NEVES,"34,546",400927,"10698,32","96,2","0,749","10,77","441907,3319","416067,2668","13854,1"
Cardoso,3510708,cardosense,JAIR CESAR NATTES,"639,248",12326,"18,45","96,8","0,722","14,29","46308,23775","40320,40495","21054,28"
Casa Branca,3510807,casa-branquense,MARCO CESAR DE PAIVA AGA,"864,225",30380,"32,76","96,9","0,73","6,33","97518,96221","92693,25741","26596,41"
Cássia dos Coqueiros,3510906,cassiano,DILMA CUNHA DA SILVA,"191,683",2523,"13,74","99,5","0,734","47,62","15898,76893","12999,7879","53975,74"
Castilho,3511003,castilhense,APARECIDA DE FATIMA GAVIOLI NASCIMENTO,"1065,318",21006,"16,89","99,1","0,731","24,39","87054,28444","77169,98419","49166,56"
Catanduva,3511102,catanduvense,AFONSO MACCHIONE NETO,"290,596",121862,"388,24","98,1","0,785","8,14","461372,4206","403700,928","32932,52"
Catiguá,3511201,catigüense,VERA LUCIA DE AZEVEDO VALLEJO,"148,393",7804,"48,03","98,4","0,751","10,75","21266,27659","19437,58657","15366,45"
Cedral,3511300,cedralense,PAULO RICARDO BEOLCHI DE LUCAS,"197,838",9237,"40,33","98,7","0,766","19,61","37763,92539","30960,82651","34862,28"
Cerqueira César,3511409,cerqueirense,MARCOS ANTONIO ZALOTI,"511,621",19985,"34,27","98,2","0,729","4,1","75974,89702","64272,7041","38625,59"
Cerquilho,3511508,cerquilhense,ALDOMIR JOSÉ SANSON,"127,803",48949,"309,98","99,6","0,782","5,96","165449,8145","138709,5371","37302,48"
Cesário Lange,3511607,cesariano-lange,RONALDO PAIS DE CAMARGO,"190,392",18148,"81,46","96,3","0,706","21,28","56792,8307","53413,86635","23835,12"
Charqueada,3511706,charqueadense,ROMEU ANTONIO VERDI,"175,846",17190,"85,79","97,9","0,736","19,42","44565,50282","38588,50552","20922,56"
Clementina,3511904,clementinense,CÉLIA CONCEIÇÃO FREITAS GALHARDO,"168,59",8617,"41,85",98,"0,725","8,55","28839,28053","25236,84461","29700,4"
Colina,3512001,colinense,DIAB TAHA,"422,303",18468,"41,11","98,4","0,757","8,1","80672,11148","69472,46161","51642,33"
Colômbia,3512100,colombiense,ENDRIGO LUCAS GAMBARATO BERTIN,"728,648",6210,"8,22","99,2","0,71","11,76","43935,22451","38618,76712","57545,34"
Conchal,3512209,conchalense,LUIZ VANDERLEI MAGNUSSON,"182,793",28050,"138,02","96,7","0,708","12,2","100960,51","86413,17651",23809
Conchas,3512308,conchense,ODIRLEI REIS,"466,12",17896,"34,95","97,6","0,736","9,62","54724,10202","50645,58986","19518,27"
Cordeirópolis,3512407,cordeiropolense,JOSE ADINAN ORTOLAN,"137,579",24528,"153,22","96,7","0,758","3,55","142098,6848","121672,3163","109697,7"
Coroados,3512506,coroadense,TEREZINHA APARECIDA CASTILHO VARONI,"246,825",6058,"21,26","98,3","0,719","13,89","20830,3842","18406,57198","27503,97"
Coronel Macedo,3512605,macedense,JOSE ROBERTO SANTINONI VEIGA,"303,83",4681,"16,45","99,1","0,69","18,52","22729,31678","18982,06845","16545,85"
Corumbataí,3512704,corumbataiense,LEANDRO MARTINEZ,"278,622",4055,"13,9",97,"0,754","18,87","25285,25506","23448,37991","51496,46"
Cosmópolis,3512803,cosmopolense,JOSE PIVATTO,"154,665",72252,"380,37",98,"0,769","10,83","171948,444","148441,5928","22807,24"
Cosmorama,3512902,cosmoramense,LUIS FERNANDO GONÇALVES,"441,68",7307,"16,33","97,9","0,722","33,33","30778,34102","25647,12509","36908,64"
Cotia,3513009,cotiano,ROGERIO CARDOSO FRANCO,"323,994",249210,"620,81","97,5","0,78","7,42","795242,8664","720866,5779","48678,74"
Cravinhos,3513108,cravinhense,JOSÉ CARLOS CARRASCOSA DOS SANTOS,"311,423",35292,"101,77","98,1","0,756","12,44","131080,586","111134,667","29876,08"
Cristais Paulista,3513207,cristalense,KATIUSCIA DE PAULA LEONARDO MENDES,"385,23",8631,"19,7","98,2","0,734","16,53","29472,10652","25481,63482","23225,77"
Cruzália,3513306,cruzaliense,JOSÉ ROBERTO CIRINO,"149,33",2073,"15,26","97,8","0,774","43,48","16229,07926","14631,8345","60721,4"
Cruzeiro,3513405,cruzeirense,THALES GABRIEL FONSECA,"305,699",82238,"252,01","97,6","0,788","14,05","165655,5362","147348,1789","26145,67"
Cubatão,3513504,cubatense,ADEMARIO DA SILVA OLIVEIRA,"142,879",130705,"830,91",98,"0,737","13,58","1181573,22","985154,1083","95822,18"
Cunha,3513603,cunhense,ROLIEN GUARDA GARCIA,"1407,25",21547,"15,54",98,"0,684","4,15","55363,08474","51329,50024","11105,76"
Descalvado,3513702,descalvadense,ANTONIO CARLOS RESCHINI,"753,706",33718,"41,2","98,6","0,76","8,36","112355,688","92575,65685","49281,66"
Diadema,3513801,diademense,LAURO MICHELS SOBRINHO,"30,732",423884,"12536,99","96,8","0,757","12,41","1243622,693","1212704,154","32097,86"
Dirce Reis,3513850,dircense,EUCLIDES SCRIBONI BENINI,"88,133",1793,"19,12",100,"0,741","111,11","15516,84756","12939,80784","33922,56"
